 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 410928  62584  26256 418340    0    0     0    32 2063  629  3 16 79  1  0
 1  0 410928  62584  26256 418360    0    0     0     0 1881  582  2 12 86  0  0
 0  0 410928  62584  26264 418352    0    0     0    40 2170  606  6 18 76  0  0
 0  0 410928  62584  26264 418368    0    0     0     0 2266  628  2 15 82  0  0
 1  0 410928  62584  26280 418496    0    0    20   104 1929  968  2 18 79  0  0
 0  0 410928  62584  26280 418532    0    0     0     0 2802 1002  6 23 71  0  0
 0  0 410928  62584  26280 418532    0    0     0     0 2364  599  1 19 80  0  0
 0  0 410928  62584  26280 418540    0    0     0     0 2459  670  3 19 78  0  0
 0  0 410928  62584  26280 418544    0    0     0     0 1988  554  2 14 84  0  0
 0  0 410928  62584  26288 418548    0    0     0    24 2335  698  4 18 76  1  0
 0  0 410928  62584  26288 418552    0    0     0     0 2118  641  3 14 82  0  0
 0  0 410928  62584  26288 418556    0    0     0     0 2106  588  1 13 86  0  0
 0  0 410928  62584  26288 418560    0    0     0     0 3293  708  8 25 67  0  0
 1  0 410928  62584  26288 418564    0    0     0     0 2257  659  2 19 79  0  0
 0  0 410928  62584  26288 418572    0    0     0     0 2537  576  2 16 82  0  0
 0  0 410928  62584  26296 418572    0    0     0    12 2401  775  3 22 74  0  0
 2  0 410928  62584  26296 418576    0    0     0     0 1582  643  2 13 85  0  0
 1  0 410928  62584  26296 418576    0    0     0     0 2723  643  4 18 79  0  0
 0  0 410928  62584  26296 418584    0    0     0     0 2184  629  4 15 81  0  0
 0  0 410928  62584  26296 418588    0    0     0     0 2565  641  1 22 77  0  0
 0  0 410928  62584  26304 418592    0    0     0    24 2150  615  4 13 83  0  0
 2  0 410928  62584  26304 418596    0    0     0     0 2773  672  3 19 77  0  0
 0  0 410928  62584  26304 418600    0    0     0     0 1933  623  2 15 82  0  0
 2  0 410928  62584  26304 418604    0    0     0     0 2478  653  4 20 76  0  0
 0  0 410928  62584  26304 418608    0    0     0     0 2505  724  2 21 77  0  0
 1  0 410928  62584  26312 418612    0    0     0    12 2251  649  2 14 83  0  0
 0  0 410928  62584  26312 418620    0    0     0     0 2337  571  1 17 82  0  0
 0  0 410928  62584  26312 418620    0    0     0     0 2357  688  3 19 78  0  0
 1  0 410928  62584  26312 418628    0    0     0     0 3184  659  3 23 74  0  0
 0  0 410928  62584  26312 418628    0    0     0     0 1952  573  3 15 82  0  0
 0  0 410928  62584  26320 418636    0    0     0   148 2395  604  3 18 79  0  0
 1  0 410928  62584  26320 418636    0    0     0     0 2586  599  1 17 82  0  0
 0  0 410928  62584  26320 418644    0    0     0     0 2240  558  3 15 82  0  0
 0  0 410928  62584  26320 418648    0    0     0     0 2382  627  2 17 81  0  0
 0  0 410928  62584  26320 418652    0    0     0     0 2113  579  2 21 77  0  0
 0  0 410928  62584  26332 418656    8    0     8   868 2004  648  3 17 80  0  0
 0  0 410928  62584  26332 418660    0    0     0     0 3307  621  3 26 71  0  0
 0  0 410928  62584  26332 418664    0    0     0     0 2819  610  2 23 75  0  0
 0  0 410928  62584  26332 418672    0    0     0     0 1903  611  2 20 78  0  0
 0  0 410928  62584  26332 418672    0    0     0     0 2514  578  2 23 75  0  0
 0  0 410928  62584  26344 418680    0    0     0    44 2466  648  2 17 79  2  0
 0  0 410928  62584  26344 418684    0    0     0     0 2506  571  4 17 79  0  0
 0  0 410928  62584  26344 418684    0    0     0     0 2453  622  3 16 81  0  0
 0  0 410928  62584  26344 418692    4    0     4     0 2472 1408 16 23 61  0  0
 0  0 410928  62584  26344 418696    0    0     0     0 1801 1099  9 20 70  0  0
