'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
172392,170340,33228,31568,200,17,4582760,182776,1117776,0,454472,929988,4582760,24,83908,23844,110844,7204,316724,1530,"-1,234230203","-1,382862034","0,395675196",6
172392,170340,33228,31568,200,9,4582708,182788,1117780,0,454532,929948,4582708,176,83912,23844,110864,7204,318776,1530,"-1,209568978","-1,38109977","0,4238607889",6
172392,170340,33228,31568,200,64,4582144,182812,1117772,0,454564,929928,4582144,152,83908,23844,110912,7204,316256,1530,"-1,022299132","-1,208498242","0,3082989593",6
172392,170340,33228,31568,200,54,4582332,182840,1117780,0,454592,929936,4582332,156,83908,23844,110812,7208,314108,1530,"-1,125975494","-1,263196152","0,3483659706",6
172392,170340,33228,31568,200,45,4582296,182888,1117780,0,454628,929952,4582296,144,83912,23844,110824,7208,318344,1530,"-1,040751144","-1,23208118","0,3724868804",6
172392,170340,33228,31568,200,32,4582524,182912,1117780,0,454660,929944,4582524,164,83912,23844,110820,7204,313952,1530,"-1,243806158","-1,367439386","0,3691280284",6
172392,170340,33228,31568,200,17,4582280,182964,1117780,0,454700,929956,4582280,24,83912,23844,110820,7204,316100,1530,"-1,248914085","-1,395301098","0,3949633939",6
172392,170340,33228,31568,200,9,4582964,182984,1117780,0,454736,929936,4582964,28,83908,23844,110784,7208,318220,1530,"-1,216359028","-1,373681751","0,4374807516",6
172392,170340,33228,31568,200,9,4582708,182996,1117780,0,454764,929920,4582708,148,83908,23844,110816,7208,315800,1530,"-1,286908561","-1,413397573","0,4410967735",6
172392,170340,33228,31568,200,55,4582092,183028,1117780,0,454812,929908,4582092,152,83912,23844,110948,7208,315800,1530,"-1,064388668","-1,238639671","0,350015888",6
172392,170340,33228,31568,200,46,4581924,183068,1117780,0,454856,929900,4581924,152,83908,23844,110880,7208,317964,1020,"-0,856814304","-1,067589545","0,1439843113",7
172392,170340,33228,31572,200,36,4582740,183092,1117780,0,454904,929880,4582740,160,83912,23844,110980,7208,315628,1020,"-0,973831937","-1,143319461","0,1611992981",7
172392,170340,33228,31572,200,26,4582456,183108,1117784,0,454972,929836,4582456,160,83916,23844,110920,7208,315628,1020,"-1,020646034","-1,18221812","0,1812373477",7
172392,170340,33228,31568,200,14,4582892,183132,1117784,0,455028,929800,4582892,36,83912,23844,110908,7208,315392,1020,"-1,086042014","-1,23247381","0,1976231047",7
172392,170340,33228,31568,200,9,4582692,183164,1117784,0,455080,929780,4582692,4,83912,23844,110856,7208,315120,1020,"-1,117630895","-1,256355067","0,2052406199",7
172392,170340,33228,31568,200,9,4582444,183188,1117784,0,455120,929760,4582444,164,83908,23844,110944,7208,314952,1530,"-1,305673843","-1,432897553","0,4419436267",6
172392,170340,33228,31568,200,60,4582044,183204,1117784,0,455168,929728,4582044,156,83908,23844,110912,7208,314952,1530,"-1,063988858","-1,232339738","0,3384822451",6
172392,170340,33228,31568,200,51,4581736,183232,1117784,0,455224,929704,4581736,160,83912,23844,110896,7208,314952,1530,"-1,10505187","-1,268822925","0,3570969179",6
172392,170340,33228,31568,200,38,4582344,183276,1117784,0,455252,929716,4582344,148,83908,23844,110832,7208,316996,1530,"-1,108426082","-1,283262723","0,3846606786",6
172392,170340,33228,31568,200,26,4582068,183316,1117784,0,455300,929708,4582068,152,83908,23844,111024,7208,314444,1530,"-1,235877745","-1,378880889","0,4070720989",6
172392,171364,33228,31512,200,18,4582512,183352,1117788,0,455280,929708,4582512,32,83704,23844,110888,7208,312372,1020,"-1,136194406","-1,262181801","0,1725180576",7
