'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
153484,151436,26612,26468,160,15,5601720,35288,334676,0,142712,305984,5601720,8159224,20,0,78732,23772,27828,7196,298140,1020,0,2,"-14,66637021","11,796234972","-2,391808069","-0,075482598",1
153484,151436,26612,26468,160,9,5601644,35384,334676,0,142712,306080,5601644,8159224,164,0,78732,23772,27892,7192,298028,1020,0,2,"-14,70549058","11,753789974","-2,391916547","-0,079529254",1
153484,151436,26612,26468,160,60,5600980,35488,334680,0,142712,306188,5600980,8159224,152,0,78732,23772,27924,7196,295980,1530,0,2,"-14,69608987","11,761820148","-2,268490539","0,0065214294",1
153484,151436,26612,26468,160,50,5600944,35584,334680,0,142720,306280,5600944,8159224,56,0,78736,23772,27836,7196,298084,1530,0,2,"-14,68101744","11,756690043","-2,25254214","0,0012283138",1
153484,151436,26612,26468,160,33,5601328,35680,334680,0,142720,306368,5601328,8159224,24,0,78736,23772,27948,7192,297600,1530,0,2,"-14,78362995","11,663928264","-2,24019657","-0,009926326",1
153484,151436,26612,26468,160,21,5601788,35776,334680,0,142720,306472,5601788,8159224,52,0,78736,23772,27976,7192,294968,1530,0,2,"-14,91859271","11,575769555","-2,217091225","-0,018881419",1
153484,151436,26612,26468,160,9,5601264,35872,334680,0,142720,306568,5601264,8159224,12,0,78736,23772,27980,7196,292552,1020,0,2,"-14,8505936","11,672668267","-2,38295361","-0,082441342",1
153484,151436,26612,26468,160,59,5600368,35976,334680,0,142724,306660,5600368,8159224,48,0,78736,23772,27980,7196,296988,1020,0,2,"-14,47909331","11,935271444","-2,476458938","-0,048738437",1
153484,151436,26612,26468,160,46,5600356,36072,334680,0,142728,306764,5600356,8159224,144,0,78740,23772,27864,7196,299048,1020,0,2,"-14,4800949","11,92053954","-2,444843498","-0,055926536",1
153484,151436,26612,26468,160,31,5600228,36184,334680,0,142732,306864,5600228,8159224,176,0,78740,23772,27892,7196,296976,1020,0,2,"-14,61031915","11,826649748","-2,414566779","-0,066492492",1
