r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 417428  60312  22580 404476    0    0     0    12 1954  786 10 73 17  0  0
 2  0 417428  60312  22580 404476    0    0     0     0 2883  978 11 53 36  0  0
 1  0 417428  60312  22580 404488    0    0     0     0 2607  948  8 58 33  0  0
 1  0 417428  60312  22580 404712    0    0   120     0 2948 1206 12 57 32  0  0
 1  0 417428  60312  22580 404716    0    0     0     0 2344  915 12 66 22  0  0
 1  0 417428  60312  22588 404716    0    0     0    12 2673  974  7 56 37  0  0
 1  0 417428  60312  22588 404732    0    0     0     0 1923  713  7 71 22  0  0
17  0 417428  60312  22588 404740    0    0     0   156 2125  802  9 67 25  0  0
 3  0 417428  60312  22588 404740    0    0     0     0 2895 1120 13 54 33  0  0
 1  0 417428  60312  22588 404756    0    0     0     0 2588  920  8 64 28  0  0
 1  0 417428  60312  22596 404752    0    0     0    36 3010  994 10 57 33  0  0
 0  0 417428  60312  22596 404772    0    0     0     0 2354  918 13 60 28  0  0
 2  0 417428  60312  22596 404776    0    0     0     0 2087  783  8 68 24  0  0
 2  0 417428  60312  22596 404780    0    0     0     0 3162 1075  8 51 42  0  0
 3  0 417428  60312  22596 404792    0    0     0     0 2738  906  8 57 35  0  0
 4  0 417428  60312  22604 404800    0    0     0    12 2281  951  6 68 26  0  0
 1  0 417428  60312  22604 404800    0    0     0     0 2233  819  9 65 26  0  0
 0  0 417428  60312  22604 404812    0    0     0     0 2375  864  7 64 29  0  0
 1  0 417428  60312  22604 404812    0    0     0     0 2292  839  9 62 28  0  0
 1  0 417428  60312  22604 404828    0    0     0     0 2757 1036 11 58 31  0  0
 0  1 417428  60312  22612 404824    0    0     0    12 2545  836  8 65 27  0  0
 2  0 417428  60312  22612 404840    0    0     0     0 1846  775 20 65 15  0  0
 1  0 417428  60312  22612 404848    0    0     0     0 2115  879 12 67 21  0  0
 2  0 417428  60312  22612 404852    0    0     0     0 2290  824  9 67 24  0  0
 3  0 417428  60312  22612 404860    0    0     0     0 2452  855  7 67 27  0  0
 3  0 417428  60312  22620 404852    0    0     0    12 2539  962  8 61 31  0  0
 1  0 417428  60312  22620 404872    0    0     0     0 2381  856  8 63 28  0  0
 2  0 417428  60312  22620 404884    0    0     0     0 2853 1037 10 62 28  0  0
12  0 417428  60312  22620 404892    0    0     0     0 2629  989  9 64 27  0  0
 2  0 417428  60312  22620 404896    0    0     0     0 2413  827 11 63 27  0  0
 1  0 417428  60312  22628 404892    0    0     0    12 2945  922 10 58 31  1  0
 2  0 417428  60312  22628 404916    0    0     0     0 2421  950 11 66 23  0  0
 2  0 417428  60312  22628 404920    0    0     0     0 2362  813 11 56 33  0  0
10  0 417428  60312  22628 404928    0    0     0     0 2088  833 10 73 17  0  0
 1  0 417428  60312  22628 404936    0    0     0     0 2955  981  5 53 41  0  0
 1  0 417428  60312  22636 404944    0    0     0    12 2572  843  6 67 27  0  0
 2  0 417428  60312  22636 404952    0    0     0     0 2126  884 14 65 20  0  0
 7  0 417428  60312  22636 404960    0    0     0   228 2372  876 11 59 30  0  0
 3  0 417428  60312  22636 404968    0    0     0     0 1887  712 11 69 19  0  0
 2  0 417428  60312  22636 404976    0    0     0     0 2680 1016  8 64 28  0  0
 7  0 417428  60312  22644 404984    0    0     0    24 2838  935 14 49 38  0  0
 5  0 417428  60312  22644 404988    0    0     0     0 2021  773 10 72 18  0  0
 1  0 417428  60312  22644 404996    0    0     0    24 2496  945 11 58 31  0  0
 1  0 417428  60312  22644 405004    0    0     0     0 2299  793  6 70 24  0  0
 1  0 417428  60312  22644 405012    0    0     0     0 2188  808  9 64 27  0  0
10  1 417428  60312  22652 405012    0    0     0    12 1602  674  9 77 13  0  0
 2  0 417428  60312  22652 405028    0    0     0     0 2845  886  5 61 33  0  0
 1  0 417428  60312  22652 405036    0    0     0     0 1959  801  9 71 20  0  0
 2  0 417428  60312  22652 405036    0    0     0     0 2963 1100 10 57 33  0  0
 3  0 417428  60312  22652 405052    0    0     0     0 2698  981 11 53 36  0  0
 3  0 417428  60312  22660 405056    0    0     0    12 2687  992  5 59 35  0  0
 1  0 417428  60312  22660 405064    0    0     0     0 2210  806  7 72 21  0  0
 8  0 417428  60312  22660 405064    0    0     0     0 2519  788 11 63 26  0  0
 1  0 417428  60312  22660 405080    0    0     0     0 2527  809  8 61 31  0  0
 0  0 417428  60312  22660 405088    0    0     0     0 2471  913 13 61 26  0  0
