 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 406288  68632  24492 409260    0    0     0     0 3030  727  3 16 80  0  0
 0  0 406288  68632  24492 409264    0    0     0    12 3063  684  5 28 67  0  0
 0  0 406288  68632  24492 409272    0    0     0     0 3323  741  8 29 63  0  0
 0  0 406288  68632  24500 409276    0    0     0    12 3234  742  2 33 65  0  0
 0  0 406288  68632  24500 409284    0    0     0     0 3933  697  6 29 65  0  0
 0  0 406288  68632  24500 409288    0    0     0     0 3322  786  7 24 69  0  0
 0  0 406288  68632  24500 409296    0    0     0     0 3475  741  5 32 63  0  0
 0  0 406288  68632  24500 409304    0    0     0     0 3336  671  1 37 62  0  0
 0  0 406288  68632  24508 409308    0    0     0    12 3419  696  7 24 70  0  0
 0  0 406288  68632  24508 409316    0    0     0     0 3389  696  2 26 72  0  0
 0  0 406288  68632  24508 409320    0    0     0     0 3162  718  5 21 74  0  0
 1  0 406288  68632  24508 409332    0    0     0     0 3575  737  5 24 71  0  0
 2  0 406288  68632  24508 409332    0    0     0     0 3498  759  5 34 61  0  0
 1  0 406288  68632  24516 409344    0    0     0    12 3007  664  5 15 79  0  0
 4  0 406288  68632  24516 409348    0    0     0     0 3738  729  8 31 61  0  0
 0  0 406288  68632  24516 409356    0    0     0     0 3015  688  4 21 75  0  0
 4  0 406288  68632  24516 409360    0    0     0     0 3094  712  1 26 73  0  0
 0  0 406288  68632  24516 409368    0    0     0     0 3776  666  4 27 69  0  0
 0  0 406288  68632  24524 409372    0    0     0    12 3585  651  4 26 70  0  0
 0  0 406288  68632  24524 409384    0    0     0     0 2673  642  0 14 86  0  0
 1  0 406288  68632  24524 409384    0    0     0     0 2936  678  4 31 64  0  0
 0  0 406288  68632  24524 409396    0    0     0     0 3799  699  7 34 59  0  0
 2  0 406288  68632  24524 409400    0    0     0     0 3167  794  6 26 69  0  0
 1  0 406288  68632  24532 409408    0    0     0    12 3209  673  5 25 70  0  0
 0  0 406288  68632  24532 409412    0    0     0     0 3122  708  2 31 66  0  0
 0  0 406288  68632  24532 409420    0    0     0     0 3388  665  4 22 74  0  0
 1  0 406288  68632  24532 409424    0    0     0     0 3338  735  5 23 72  0  0
 0  0 406288  68632  24532 409436    0    0     0   204 3139  727  5 22 73  0  0
 1  0 406288  68632  24540 409440    0    0     0    24 4020  829  5 36 58  1  0
 0  0 406288  68632  24540 409444    0    0     0     0 4009  694  4 32 65  0  0
 3  0 406288  68632  24540 409452    0    0     0     0 4243  780  4 39 57  0  0
 0  0 406288  68632  24540 409456    0    0     0     0 2384  659  4 16 79  0  0
 1  0 406288  68632  24540 409468    0    0     0     0 3474  657  6 25 69  0  0
 1  0 406288  68632  24548 409472    0    0     0    12 2927  706  4 19 76  1  0
 0  0 406288  68632  24548 409476    0    0     0     0 3250  763  2 21 76  0  0
 1  0 406288  68632  24548 409488    0    0     0     0 3268  758  3 23 74  0  0
 0  0 406288  68632  24548 409492    0    0     0     0 3505  682  5 25 70  0  0
 1  0 406288  68632  24548 409496    0    0     0     0 3030  779  8 21 71  0  0
 0  0 406288  68632  24556 409504    0    0     0    12 3895  809  6 39 55  0  0
 1  0 406288  68632  24556 409512    0    0     0     0 4107  843  3 46 52  0  0
 0  0 406288  68632  24556 409516    0    0     0     0 3630  711  6 34 60  0  0
 0  0 406288  68632  24556 409524    0    0     0     0 3368  748  3 21 75  0  0
 0  0 406288  68632  24556 409528    0    0     0     0 2590  783  4 18 78  0  0
 4  0 406288  68632  24564 409536    0    0     0    12 3617  857  5 39 56  0  0
 0  0 406288  68632  24564 409540    0    0     0     0 3299  728  4 56 40  0  0
 0  0 406288  68632  24564 409552    0    0     0     0 2968  831  6 65 28  0  0
 0  0 406288  68632  24564 409556    0    0     0     0 3483  771  6 29 65  0  0
 0  0 406288  68632  24564 409560    0    0     0     0 2877  742  3 21 76  0  0
 1  0 406288  68632  24572 409572    0    0     0    12 3883  801  4 30 66  0  0
 0  0 406288  68632  24572 409572    0    0     0     0 2874  706  4 19 78  0  0
 0  0 406288  68632  24572 409584    0    0     0     0 3698  748  5 35 60  0  0
 0  0 406288  68632  24572 409592    0    0     0     0 3779  744  5 34 61  0  0
 0  0 406288  68632  24572 409592    0    0     0     0 4257  909  5 45 50  0  0
 0  0 406288  68632  24580 409604    0    0     0    12 3436  723  6 27 68  0  0
 0  0 406288  68632  24580 409608    0    0     0     0 2916  666  2 21 76  0  0
 1  0 406288  68632  24580 409612    0    0     0     0 3093  728  4 22 74  0  0
 1  0 406288  68632  24580 409624    0    0     0     0 3830  793 10 54 36  0  0
 0  0 406288  68632  24580 409624    0    0     0   216 3058  673  3 29 68  0  0
 0  0 406288  68632  24588 409636    0    0     0    24 3728  755  2 35 63  0  0
 0  0 406288  68632  24588 409640    0    0     0     0 3799  767  4 34 62  0  0
 0  0 406288  68632  24588 409648    0    0     0     0 2917  699  2 21 77  0  0
 0  0 406288  68632  24588 409652    0    0     0     0 3055  659  2 18 80  0  0
 0  0 406288  68632  24588 409660    0    0     0     0 3687  743  3 30 66  0  0
