,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
155,0,0,185100,57872,10616,308824,0,0,0,0,515,367,0,13,87,0,0
156,0,0,185100,57872,10624,308824,0,0,0,16,394,340,0,9,91,0,0
157,1,0,185100,57872,10624,308828,0,0,0,0,821,391,0,31,69,0,0
158,0,0,185100,57872,10624,308828,0,0,0,0,755,381,0,26,74,0,0
159,0,0,185100,57872,10624,308832,0,0,0,0,900,383,0,34,66,0,0
160,0,0,185100,57872,10624,308836,0,0,0,0,508,361,0,15,85,0,0
161,5,0,185100,57872,10632,308836,0,0,0,16,581,349,0,19,81,0,0
162,1,0,185100,57872,10632,308840,0,0,0,0,496,358,0,13,87,0,0
163,0,0,185100,57872,10632,308840,0,0,0,0,477,361,0,13,87,0,0
164,0,0,185100,57872,10632,308844,0,0,0,0,518,366,0,17,83,0,0
165,1,0,185100,57872,10632,308848,0,0,0,0,557,347,0,18,82,0,0
166,1,0,185100,57872,10640,308848,0,0,0,16,798,382,0,29,71,0,0
167,0,0,185100,57872,10640,308852,0,0,0,0,673,346,0,24,76,0,0
168,2,0,185100,57872,10640,308852,0,0,0,0,692,417,0,23,77,0,0
169,0,0,185100,57872,10640,308856,0,0,0,0,791,391,0,29,71,0,0
170,3,0,185100,57872,10640,308856,0,0,0,76,598,379,0,21,79,0,0
171,0,0,185100,57872,10652,308860,0,0,0,32,691,381,0,24,76,0,0
172,0,0,185100,57872,10652,308864,0,0,0,0,657,373,0,23,77,0,0
173,0,0,185100,57872,10652,308864,0,0,0,0,605,370,0,19,81,0,0
174,0,0,185100,57872,10652,308868,0,0,0,0,593,381,0,20,80,0,0
175,1,0,185100,57872,10652,308868,0,0,0,0,716,385,0,25,75,0,0
176,0,0,185100,57872,10660,308872,0,0,0,40,629,381,0,20,80,0,0
177,0,0,185100,57872,10660,308872,0,0,0,0,618,355,0,20,80,0,0
178,0,0,185100,57872,10660,308876,0,0,0,0,721,373,0,24,76,0,0
179,0,0,185100,57872,10660,308880,0,0,0,0,711,396,0,25,75,0,0
180,1,0,185100,57872,10660,308880,0,0,0,0,751,375,0,26,74,0,0
181,0,0,185100,57872,10668,308884,0,0,0,16,500,348,0,16,84,0,0
182,0,0,185100,57872,10668,308884,0,0,0,0,571,384,0,19,81,0,0
183,0,0,185100,57872,10668,308888,0,0,0,0,628,360,0,20,80,0,0
184,0,0,185100,57872,10668,308892,0,0,0,0,628,377,0,21,79,0,0
185,1,0,185100,57872,10668,308892,0,0,0,0,728,357,0,26,74,0,0
186,0,0,185100,57872,10680,308896,0,0,0,84,616,382,0,20,80,0,0
187,0,0,185100,57872,10680,308900,0,0,0,0,643,387,0,22,78,0,0
188,0,0,185100,57872,10680,308900,0,0,0,0,722,364,0,27,73,0,0
189,0,0,185100,57872,10680,308904,0,0,0,0,493,351,0,14,86,0,0
190,0,0,185100,57872,10680,308904,0,0,0,0,654,357,0,21,79,0,0
191,0,0,185100,57872,10688,308908,0,0,0,16,576,389,0,20,79,1,0
192,3,0,185100,57872,10688,308908,0,0,0,0,796,361,0,29,71,0,0
193,0,0,185100,57872,10688,308912,0,0,0,0,764,378,0,28,72,0,0
194,0,0,185100,57872,10688,308916,0,0,0,0,698,368,0,24,76,0,0
195,0,0,185100,57872,10688,308916,0,0,0,0,554,361,0,17,83,0,0
196,0,0,185100,57872,10696,308920,0,0,0,16,739,351,0,26,74,0,0
197,1,0,185100,57872,10696,308920,0,0,0,0,608,389,1,22,77,0,0
198,0,0,185100,57872,10696,308924,0,0,0,0,691,379,0,24,76,0,0
199,0,0,185100,57872,10696,308924,0,0,0,0,870,358,0,33,67,0,0
200,0,0,185100,57872,10696,308928,0,0,0,0,731,397,0,24,76,0,0
201,1,0,185100,57872,10704,308936,0,0,0,16,699,391,0,24,76,0,0
202,0,0,185100,57872,10704,308936,0,0,0,0,792,378,0,28,72,0,0
203,0,0,185100,57872,10704,308940,0,0,0,0,598,378,0,19,81,0,0
204,1,0,185100,57872,10704,308940,0,0,0,0,748,380,0,26,74,0,0
205,1,0,185100,57872,10704,308944,0,0,0,0,538,338,0,17,83,0,0
206,0,0,185100,57872,10712,308948,0,0,0,16,573,390,0,18,82,0,0
207,0,0,185100,57872,10712,308948,0,0,0,0,880,369,0,31,69,0,0
208,0,0,185100,57872,10712,308952,0,0,0,0,550,355,0,18,82,0,0
209,1,0,185100,57872,10712,308952,0,0,0,0,699,360,0,23,77,0,0
210,0,0,185100,57872,10712,308956,0,0,0,0,641,365,0,22,78,0,0
211,2,0,185100,57872,10720,308960,0,0,0,16,748,395,0,26,74,0,0
212,0,0,185100,57872,10720,308960,0,0,0,0,379,330,0,9,91,0,0
213,0,0,185100,57872,10720,308964,0,0,0,0,671,374,0,22,78,0,0
214,0,0,185100,57872,10720,308964,0,0,0,0,734,357,0,26,74,0,0
215,0,0,185100,57872,10720,308968,0,0,0,0,727,374,0,25,75,0,0
216,0,0,185100,57872,10728,308960,0,0,0,96,582,379,0,18,82,0,0
217,1,0,185100,57872,10728,308972,0,0,0,0,562,357,0,18,82,0,0
218,0,0,185100,57872,10728,308976,0,0,0,0,672,378,0,21,79,0,0
219,0,0,185100,57872,10728,308976,0,0,0,0,465,348,0,13,87,0,0
220,0,0,185100,57872,10728,308980,0,0,0,0,647,384,0,20,80,0,0
221,0,0,185100,57872,10740,308984,0,0,0,32,721,373,0,24,76,0,0
222,0,0,185100,57872,10740,308984,0,0,0,8,760,396,0,27,73,0,0
223,0,0,185100,57872,10740,308988,0,0,0,0,408,336,0,10,90,0,0
224,0,0,185100,57872,10740,308988,0,0,0,0,771,372,0,27,73,0,0
225,0,0,185100,57872,10740,308992,0,0,0,0,594,358,0,19,81,0,0
226,1,0,185100,57872,10748,308996,0,0,0,24,615,354,0,20,80,0,0
227,0,0,185100,57872,10748,308996,0,0,0,0,585,358,0,19,81,0,0
228,0,0,185100,57872,10748,309000,0,0,0,0,706,375,0,23,77,0,0
229,0,0,185100,57872,10748,309000,0,0,0,0,482,355,0,13,87,0,0
230,4,0,185100,57872,10748,309004,0,0,0,0,426,357,0,12,88,0,0
231,1,0,185100,57872,10756,308996,0,0,0,16,513,379,0,15,85,0,0
232,1,0,185100,57872,10756,309008,0,0,0,0,541,336,0,15,85,0,0
233,0,0,185100,57872,10756,309012,0,0,0,0,581,391,0,18,82,0,0
234,0,0,185100,57872,10756,309012,0,0,0,0,676,373,0,23,77,0,0
235,3,0,185100,57872,10756,309016,0,0,0,0,672,357,0,22,78,0,0
236,0,0,185100,57872,10764,309012,0,0,0,16,806,377,0,29,71,0,0
237,1,0,185100,57872,10764,309020,0,0,0,0,453,335,0,13,87,0,0
238,1,0,185100,57872,10764,309024,0,0,0,0,717,380,0,22,78,0,0
239,0,0,185100,57872,10764,309024,0,0,0,0,540,347,0,16,84,0,0
240,1,0,185100,57872,10764,309028,0,0,0,0,699,345,0,23,77,0,0
241,0,0,185100,57872,10764,309028,0,0,0,0,493,360,0,14,86,0,0
242,0,0,185100,57872,10772,309032,0,0,0,16,889,407,0,32,67,1,0
243,1,0,185100,57872,10772,309036,0,0,0,0,620,363,0,20,80,0,0
244,0,0,185100,57872,10772,309036,0,0,0,0,643,371,0,21,79,0,0
245,0,0,185100,57872,10772,309040,0,0,0,0,485,337,0,13,88,0,0
246,0,0,185100,57872,10772,309040,0,0,0,0,541,335,0,16,84,0,0
247,0,0,185100,57872,10780,309044,0,0,0,92,828,410,0,27,73,0,0
248,0,0,185100,57872,10780,309048,0,0,0,0,509,347,0,14,86,0,0
249,0,0,185100,57872,10780,309048,0,0,0,0,615,348,0,20,80,0,0
250,0,0,185100,57872,10780,309052,0,0,0,0,444,344,0,11,89,0,0
251,0,0,185100,57872,10780,309056,0,0,0,0,535,350,0,15,85,0,0
252,0,0,185100,57872,10792,309060,0,0,0,52,462,366,0,11,89,0,0
