r,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
0,185100,57872,10500,308652,0,0,0,32,623,386,0,19,81,"-3,30991051","0,3008121269","0,4655624066","0,3263412241","-0,173490677","0,0427587167","-0,149538182"
1,185100,57872,10500,308652,0,0,0,0,695,345,0,24,76,"-3,08547158","-0,050983645","0,5296786672","0,4336566998","-0,289304739","-0,419463483","0,1070834584"
0,185100,57872,10500,308656,0,0,0,0,736,387,0,23,77,"-3,086334433","0,0291829133","0,565730106","0,3949926901","-0,150743407","0,0452670669","-0,177338049"
0,185100,57872,10500,308660,0,0,0,0,552,333,0,17,83,"-3,623569754","-0,020258987","0,2554238759","0,1489783513","-0,083606903","-0,03317188","-0,063171903"
0,185100,57872,10500,308660,0,0,0,0,518,374,0,14,86,"-3,61860199","0,0788728783","0,4492974514","0,1516219288","-0,103389139","0,0507140971","-0,03425309"
1,185100,57872,10508,308664,0,0,0,16,387,353,0,7,93,"-3,890429449","0,2067088449","0,4335970515","0,0994961267","-0,247403842","-0,35401135","0,3309460654"
0,185100,57872,10508,308664,0,0,0,0,567,347,0,16,84,"-3,593960506","0,0057859927","0,313408726","0,1714814242","-0,089479045","0,0054714597","-0,058926409"
2,185100,57872,10508,308668,0,0,0,0,449,341,0,11,89,"-3,608931144","0,0363749347","0,6052990413","0,2527206401","-0,402038315","-0,766246859","0,5740143204"
0,185100,57872,10508,308672,0,0,0,32,522,365,0,14,86,"-3,63332795","0,2946374736","0,3233184078","0,1932666616","-0,136124609","0,0317459237","-0,071043082"
0,185100,57872,10508,308672,0,0,0,0,649,352,0,20,80,"-3,374187627","-0,015985469","0,3619191846","0,2744629587","-0,109584541","0,0045686943","-0,119984611"
2,185100,57872,10520,308676,0,0,0,32,566,374,0,16,84,"-3,213809338","0,2910582798","0,7170914586","0,4800100401","-0,485395135","-0,714173488","0,449778581"
0,185100,57872,10520,308676,0,0,0,0,739,346,0,26,74,"-3,102648903","-0,076075026","0,3502192648","0,4032588587","-0,124334636","-0,000171133","-0,202694396"
0,185100,57872,10520,308680,0,0,0,0,640,383,0,20,80,"-3,268669676","0,0391633857","0,5074119779","0,3295928052","-0,129032749","0,0855173494","-0,127609101"
0,185100,57872,10520,308684,0,0,0,0,536,352,0,17,83,"-3,560594378","0,0082872806","0,3317637409","0,1957657933","-0,091988108","0,0403560023","-0,067407979"
0,185100,57872,10520,308688,0,0,0,0,610,360,0,18,82,"-3,441658867","0,0085830306","0,379664694","0,256731939","-0,104627718","0,0466014242","-0,09398788"
0,185100,57872,10528,308692,0,0,0,16,550,363,0,16,84,"-3,538780883","0,1475564557","0,3388029175","0,2354237551","-0,116308821","0,0660976133","-0,08110022"
1,185100,57872,10528,308692,0,0,0,0,787,371,0,27,73,"-2,805698842","-0,042993449","0,6517019536","0,5946505519","-0,315371819","-0,332165473","0,0471319442"
0,185100,57872,10528,308696,0,0,0,0,1014,383,0,38,62,"-2,338694142","-0,106611488","0,5992519618","0,7643939457","-0,199931168","0,0481576659","-0,397207591"
1,185100,57872,10528,308696,0,0,0,0,608,369,0,19,81,"-3,235375706","0,0176605067","0,5974530175","0,3992580069","-0,281112325","-0,310773594","0,169165045"
